,winner,loser,score,season,date
465,Mirzoev Suren,Khikmatov Shukhrat,4-6 7-5 10-5,Amazing Masters Slam 3,2025-06-24
466,Karimov Mamurbek,Mavlyutov Kamil,6-3 4-6 10-3,Amazing Masters Slam 3,2025-06-24
467,Niyazov Shoxrux,Kadirov Bakhrom,6-3 7-5,Amazing Masters Slam 2,2025-06-25
468,Nazarov Sarvar,Juraev Mirazim,7-5 7-6 (7/5),Amazing Masters Slam 3,2025-06-25
469,Ashurmatov Bakhtiyor,Bukharov Ulugbek,6-4 2-6 6-3,Amazing Masters Slam 2,2025-06-27
470,Razzakov Alisher,Rogozin Anton,6-4 7-6 (8/6),Amazing Masters Slam,2025-06-27
471,Maxamedkasimov Rustam,Ahrarov Izzat,6-3 7-5,Amazing Masters Slam 2,2025-06-27
472,Bakhromov Iskandar,Hayitov Olimjon,6-3 6-4,Amazing Open Slam,2025-06-27
473,Akhmadjonov Olimjon,Medvedev Vladimir,6-2 6-4,Amazing Masters Slam 3,2025-06-28
474,Grunski Igor,Savlev Andrey,6-2 6-3,Amazing Open Slam,2025-06-29
475,Karimov Mamurbek,Abdurakhmanov Boburkhan,6-4 6-2,Amazing Masters Slam 3,2025-06-30
476,Razzoqov Davron,Niyazov Shoxrux,2-6 6-4 [10/8],Amazing Masters Slam 2,2025-07-01
477,Malikov Humoyun,Isaboev Sarvar,6-7 6-2 6-3,Amazing Masters Slam,2025-07-01
478,Ibragimov Murod,Abdirasulov Abbos,6-3 6-3,Amazing Masters Slam,2025-07-02
479,Karimkhodjaev Abdulaziz,Mavlyutov Kamil,6-4 6-2,Amazing Masters Slam 3,2025-07-03
480,Payziev Bakhtiyor,Lim Mikhail,7-5 2-6 [10/8],Amazing Masters Slam 2,2025-07-05
481,Fetisov Artem,Pankratov Vladimir,6-2 4-6 6-3,Masters League Season 2/2025,2025-07-08
482,Rogozin Anton,Akhtamov Farrukh,6-3 6-1,Masters League Season 2/2025,2025-07-08
483,Rogozin Anton,Ashurmatov Bakhtiyor,7-5 6-0,Masters League Season 2/2025,2025-07-09
484,Lim Mikhail,Isaboev Sarvar,6-7 (6/8) 7-5 [10/8],Masters League Season 2/2025,2025-07-09
485,Rogozin Anton,Ibragimov Murod,6-2 6-0,Masters League Season 2/2025,2025-07-10
486,Hayitov Olimjon,Savlev Andrey,5-7 6-2 [10/2],Masters League Season 2/2025,2025-07-10
487,Fetisov Artem,Azimov Bobur,6-4 6-4,Masters League Season 2/2025,2025-07-11
488,Rogozin Anton,Shirinov Jahon,6-4 6-2,Masters League Season 2/2025,2025-07-12
489,Usmonov Nazir,Khidoyatov Takhir,6-2 7-6 (8/6),Masters League Season 2/2025,2025-07-14
490,Juraev Mirazim,Nurmuratov Alisher,7-5 6-3,Masters League Season 2/2025,2025-07-15
491,Ahrarov Izzat,Maxamedkasimov Rustam,6-3 7-5,Masters League Season 2/2025,2025-07-15
492,Khidoyatov Takhir,Raimov Bakhodir,6-4 3-6 [10/7],Masters League Season 2/2025,2025-07-15
493,Juraev Mirazim,Karimkhodjaev Abdulaziz,6-4 6-2,Masters League Season 2/2025,2025-07-16
494,Larionov Svyatoslav,Rogozin Anton,6-3 6-4,Masters League Season 2/2025,2025-07-16
495,Shirinov Jahon,Ibragimov Murod,7-6 (7/5) 6-4,Masters League Season 2/2025,2025-07-16
496,Medvedev Vladimir,Nurmuratov Alisher,7-5 3-6 [10/6],Masters League Season 2/2025,2025-07-16
497,Sadibekov Bulat,Khodyrev Egor,6-3 5-7 [10/6],Masters League Season 2/2025,2025-07-16
498,Azimov Bobur,Khidoyatov Takhir,5-7 6-4 [10/6],Masters League Season 2/2025,2025-07-17
499,Abdurakhmanov Boburkhan,Savlev Andrey,6-0 6-2,Masters League Season 2/2025,2025-07-17
500,Mirzoev Suren,Fetisov Artem,7-5 6-2,Masters League Season 2/2025,2025-07-17
501,Khodyrev Egor,Bakhromov Iskandar,6-3 6-2,Masters League Season 2/2025,2025-07-17
502,Ibragimov Murod,Abdullaev Sharof,6-4 6-1,Masters League Season 2/2025,2025-07-17
503,Juraev Mirazim,Medvedev Vladimir,5-7 6-2 [10/7],Masters League Season 2/2025,2025-07-17
504,Kamilov Baxriddin,Ahrarov Izzat,6-2 6-4,Masters League Season 2/2025,2025-07-18
505,Khodyrev Egor,Khikmatov Shukhrat,3-6 6-4 [12/10],Masters League Season 2/2025,2025-07-18
506,Khodyrev Egor,Nurmuratov Alisher,5-7 6-2 7-5,Masters League Season 2/2025,2025-07-18
507,Ochildiyev Husniddin,Mirzoev Suren,6-7 6-2 10-6,Masters League Season 2/2025,2025-07-19
508,Xaleulin Ruslan,Shamuratov Farrukh,7-6 (12/10) 7-6 (18/16),Masters League Season 2/2025,2025-07-20
509,Azimov Bobur,Raimov Bakhodir,3-6 7-5 [10/5],Masters League Season 2/2025,2025-07-21
510,Abdurakhmanov Boburkhan,Khon Victor,6-2 6-1,Masters League Season 2/2025,2025-07-21
511,Khidoyatov Takhir,Ochildiyev Husniddin,4-6 6-4 [10/7],Masters League Season 2/2025,2025-07-22
512,Rogozin Anton,Xaleulin Ruslan,2-6 7-5 [10/3],Masters League Season 2/2025,2025-07-22
513,Sagdullayev Abzal,Hayitov Olimjon,2-6 6-3 [10/7],Masters League Season 2/2025,2025-07-22
514,Sadibekov Bulat,Nurmuratov Alisher,6-4 3-6 6-1,Masters League Season 2/2025,2025-07-22
515,Shirinov Jahon,Abdullaev Sharof,6-3 7-5,Masters League Season 2/2025,2025-07-22
516,Kamilov Baxriddin,Lim Mikhail,6-1 6-3,Masters League Season 2/2025,2025-07-22
517,Khakimov Alisher,Karimkhodjaev Abdulaziz,6-4 7-6 (7/5),Masters League Season 2/2025,2025-07-23
518,Kamilov Baxriddin,Payziev Bakhtiyor,6-3 6-2,Masters League Season 2/2025,2025-07-23
519,Juraev Mirazim,Khodyrev Egor,6-4 7-5,Masters League Season 2/2025,2025-07-23
520,Shirinov Jahon,Shamuratov Farrukh,6-3 6-2,Masters League Season 2/2025,2025-07-24
521,Larionov Svyatoslav,Xaleulin Ruslan,6-2 6-4,Masters League Season 2/2025,2025-07-24
522,Juraev Mirazim,Sadibekov Bulat,4-6 6-4 [10/2],Masters League Season 2/2025,2025-07-24
523,Abdurakhmanov Boburkhan,Zaretski Kir,6-1 6-1,Masters League Season 2/2025,2025-07-24
524,Nurmuratov Alisher,Bakhromov Iskandar,6-4 6-3,Masters League Season 2/2025,2025-07-24
525,Rogozin Anton,Abdullaev Sharof,6-0 7-5,Masters League Season 2/2025,2025-07-24
526,Razzakov Alisher,Ashurmatov Bakhtiyor,6-1 6-1,Masters League Season 2/2025,2025-07-25
527,Khon Victor,Zaretski Kir,6-3 6-3,Masters League Season 2/2025,2025-07-25
528,Shatursunov Shokhaydar,Khodyrev Egor,3-6 6-4 [11/9],Masters League Season 2/2025,2025-07-26
529,Khakimov Alisher,Juraev Mirazim,7-6 (9/7) 6-4,Masters League Season 2/2025,2025-07-26
530,Rogozin Anton,Shamuratov Farrukh,6-1 6-3,Masters League Season 2/2025,2025-07-26
531,Xaleulin Ruslan,Shirinov Jahon,7-5 6-4,Masters League Season 2/2025,2025-07-26
532,Larionov Svyatoslav,Ibragimov Murod,6-2 6-4,Masters League Season 2/2025,2025-07-26
533,Abdurakhmanov Boburkhan,Sagdullayev Abzal,6-3 6-2,Masters League Season 2/2025,2025-07-26
534,Razzakov Alisher,Rogozin Anton,6-4 7-6 (7/2),Masters League Season 2/2025,2025-07-27
535,Usmonov Nazir,Ochildiyev Husniddin,6-4 4-6 6-4,Masters League Season 2/2025,2025-07-27
536,Razzakov Alisher,Shamuratov Farrukh,6-2 6-2,Masters League Season 2/2025,2025-07-28
537,Abdurakhmanov Boburkhan,Neklesov Igor,7-6 (7/4) 7-5,Masters League Season 2/2025,2025-07-29
538,Razzakov Alisher,Ibragimov Murod,6-0 7-5,Masters League Season 2/2025,2025-07-29
539,Sadibekov Bulat,Bakhromov Iskandar,3-6 7-5 6-4,Masters League Season 2/2025,2025-07-29
540,Neklesov Igor,Zaretski Kir,6-1 6-1,Masters League Season 2/2025,2025-07-29
541,Raimov Bakhodir,Pankratov Vladimir,3-6 6-2 [11/9],Masters League Season 2/2025,2025-07-30
542,Bakhromov Iskandar,Karimkhodjaev Abdulaziz,6-7 (4/7) 7-6 (7/4) [10/7],Masters League Season 2/2025,2025-07-30
543,Khaitbaev Dilshad,Ahrarov Izzat,7-6 (7/1) 6-2,Masters League Season 2/2025,2025-07-30
544,Shamuratov Farrukh,Ibragimov Murod,6-4 7-6 [13/11],Masters League Season 2/2025,2025-07-30
545,Kamilov Baxriddin,Vohidov Nodir,6-1 6-4,Masters League Season 2/2025,2025-07-30
546,Khakimov Alisher,Medvedev Vladimir,6-1 4-6 7-6,Masters League Season 2/2025,2025-07-30
547,Neklesov Igor,Mavlyutov Kamil,6-2 6-2,Masters League Season 2/2025,2025-07-30
548,Razzakov Alisher,Shirinov Jahon,6-2 7-5,Masters League Season 2/2025,2025-07-31
549,Xaleulin Ruslan,Abdullaev Sharof,6-1 6-3,Masters League Season 2/2025,2025-07-31
550,Mirzoev Suren,Akhmadjonov Olimjon,6-3 4-6 [7/4],Masters League Season 2/2025,2025-07-31
551,Pankratov Vladimir,Khidoyatov Takhir,2-6 6-4 6-3,Masters League Season 2/2025,2025-07-31
552,Neklesov Igor,Khon Victor,6-2 6-2,Masters League Season 2/2025,2025-08-01
553,Khakimov Alisher,Bakhromov Iskandar,6-3 1-6 6-1,Masters League Season 2/2025,2025-08-01
554,Kurbanov Zafar,Juraev Mirazim,6-1 5-7 [10/8],Masters League Season 2/2025,2025-08-01
555,Ashurmatov Bakhtiyor,Abdullaev Sharof,6-4 6-4,Masters League Season 2/2025,2025-08-02
556,Larionov Svyatoslav,Kamilov Baxriddin,6-1 6-3,Masters League Season 2/2025,2025-08-02
557,Razzakov Alisher,Xaleulin Ruslan,6-2 6-4,Masters League Season 2/2025,2025-08-02
558,Sadibekov Bulat,Abdurakhmanov Boburkhan,0-6 6-4 6-4,Masters League Season 2/2025,2025-08-02
559,Neklesov Igor,Savlev Andrey,6-1 6-1,Masters League Season 2/2025,2025-08-04
560,Larionov Svyatoslav,Shamuratov Farrukh,6-2 4-6 [10/7],Masters League Season 2/2025,2025-08-04
561,Sagdullayev Abzal,Khon Victor,6-4 6-4,Masters League Season 2/2025,2025-08-04
562,Usmonov Nazir,Pankratov Vladimir,7-5 7-6 (7/0),Masters League Season 2/2025,2025-08-04
563,Mirzoev Suren,Khidoyatov Takhir,3-6 6-3 [10/6],Masters League Season 2/2025,2025-08-05
564,Maxamedkasimov Rustam,Isaboev Sarvar,6-4 4-6 [10/8],Masters League Season 2/2025,2025-08-05
565,Raimov Bakhodir,Fetisov Artem,6-3 6-2,Masters League Season 2/2025,2025-08-05
566,Akhmadjonov Olimjon,Juraev Mirazim,6-1 6-4,Masters League Season 2/2025,2025-08-05
567,Ibragimov Murod,Kamilov Baxriddin,6-2 6-2,Masters League Season 2/2025,2025-08-05
568,Khakimov Alisher,Nurmuratov Alisher,7-5 7-5,Masters League Season 2/2025,2025-08-06
569,Kurbanov Zafar,Pankratov Vladimir,6-2 6-1,Masters League Season 2/2025,2025-08-06
570,Mavlyutov Kamil,Sagdullayev Abzal,6-4 4-6 [10/7],Masters League Season 2/2025,2025-08-06
571,Mirzoev Suren,Usmonov Nazir,6-4 6-4,Masters League Season 2/2025,2025-08-07
572,Khidoyatov Takhir,Fetisov Artem,7-6 (7/5) 6-7 (5/7) [10/6],Masters League Season 2/2025,2025-08-07
573,Sagdullayev Abzal,Pulatov Timur,6-0 6-4,Masters League Season 2/2025,2025-08-07
574,Abdurakhmanov Boburkhan,Nurmuratov Alisher,6-2 2-6 [10/6],Masters League Season 2/2025,2025-08-07
575,Kurbanov Zafar,Akhmadjonov Olimjon,6-3 6-2,Masters League Season 2/2025,2025-08-07
576,Abdurakhmanov Boburkhan,Medvedev Vladimir,3-6 6-3 7-6,Masters League Season 2/2025,2025-08-07
577,Shamuratov Farrukh,Kamilov Baxriddin,7-5 6-4,Masters League Season 2/2025,2025-08-07
578,Khodyrev Egor,Medvedev Vladimir,1-6 6-4 7-6 (10/7),Masters League Season 2/2025,2025-08-08
579,Neklesov Igor,Sagdullayev Abzal,6-2 6-4,Masters League Season 2/2025,2025-08-08
580,Savlev Andrey,Zaretski Kir,6-2 6-4,Masters League Season 2/2025,2025-08-09
581,Xaleulin Ruslan,Ashurmatov Bakhtiyor,6-0 6-0,Masters League Season 2/2025,2025-08-09
582,Khakimov Alisher,Abdurakhmanov Boburkhan,2-6 6-3 [10/2],Masters League Season 2/2025,2025-08-09
583,Shirinov Jahon,Kamilov Baxriddin,6-3 6-0,Masters League Season 2/2025,2025-08-09
584,Shatursunov Shokhaydar,Sadibekov Bulat,5-7 6-0 6-4,Masters League Season 2/2025,2025-08-10
585,Kurbanov Zafar,Fetisov Artem,6-1 6-1,Masters League Season 2/2025,2025-08-11
586,Khodyrev Egor,Abdurakhmanov Boburkhan,7-6 (7/5) 7-6 (7/2),Masters League Season 2/2025,2025-08-11
587,Akhmadjonov Olimjon,Usmonov Nazir,3-6 6-4 [10/8],Masters League Season 2/2025,2025-08-11
588,Khon Victor,Savlev Andrey,6-2 6-0,Masters League Season 2/2025,2025-08-11
589,Kurbanov Zafar,Ochildiyev Husniddin,6-2 6-4,Masters League Season 2/2025,2025-08-12
590,Juraev Mirazim,Khidoyatov Takhir,2-6 6-4 6-1,Masters League Season 2/2025,2025-08-12
591,Larionov Svyatoslav,Abduvakhidov Alisher,6-4 6-0,Masters League Season 2/2025,2025-08-12
592,Mirzoev Suren,Azimov Bobur,6-4 7-6 (7/4),Masters League Season 2/2025,2025-08-12
593,Shamuratov Farrukh,Abduvakhidov Alisher,6-0 3-6 [10/3],Masters League Season 2/2025,2025-08-12
594,Xaleulin Ruslan,Ibragimov Murod,6-1 6-3,Masters League Season 2/2025,2025-08-12
595,Usmonov Nazir,Fetisov Artem,6-4 7-5,Masters League Season 2/2025,2025-08-12
596,Shatursunov Shokhaydar,Bakhromov Iskandar,6-2 6-4,Masters League Season 2/2025,2025-08-12
597,Khodyrev Egor,Khakimov Alisher,6-2 6-3,Masters League Season 2/2025,2025-08-13
598,Karimkhodjaev Abdulaziz,Nurmuratov Alisher,6-3 3-6 6-1,Masters League Season 2/2025,2025-08-13
599,Hayitov Olimjon,T Otabek,6-1 6-1,Masters League Season 2/2025,2025-08-14
600,Lim Mikhail,Khaitbaev Dilshad,6-1 1-6 [10/8],Masters League Season 2/2025,2025-08-14
601,Shamuratov Farrukh,Abdullaev Sharof,6-3 2-6 [14/12],Masters League Season 2/2025,2025-08-14
602,Abduvakhidov Alisher,Kamilov Baxriddin,7-6 (7/5) 7-5,Masters League Season 2/2025,2025-08-14
603,Khakimov Alisher,Shatursunov Shokhaydar,2-6 7-6 (7/4) 6-3,Masters League Season 2/2025,2025-08-14
604,Larionov Svyatoslav,Akhtamov Farrukh,6-1 6-3,Masters League Season 2/2025,2025-08-14
605,Azimov Bobur,Pankratov Vladimir,7-5 6-2,Masters League Season 2/2025,2025-08-14
606,Lim Mikhail,Ahrarov Izzat,7-5 7-6 (7/2),Masters League Season 2/2025,2025-08-15
607,Mirzoev Suren,Juraev Mirazim,6-4 7-6 (7/5),Masters League Season 2/2025,2025-08-15
608,Razzakov Alisher,Abduvakhidov Alisher,6-3 6-0,Masters League Season 2/2025,2025-08-15
609,Fetisov Artem,Ochildiyev Husniddin,7-6 (7/3) 6-3,Masters League Season 2/2025,2025-08-15
610,Razzakov Alisher,Kamilov Baxriddin,6-1 6-1,Masters League Season 2/2025,2025-08-16
611,Hayitov Olimjon,Khon Victor,6-2 6-3,Masters League Season 2/2025,2025-08-16
612,Larionov Svyatoslav,Razzakov Alisher,7-5 7-6 (7/5),Masters League Season 2/2025,2025-08-16
613,Raimov Bakhodir,Kurbanov Zafar,2-6 6-1 [10/7],Masters League Season 2/2025,2025-08-18
614,Juraev Mirazim,Pankratov Vladimir,6-7 (5/7) 6-1 [12/10],Masters League Season 2/2025,2025-08-18
615,Khikmatov Shukhrat,Khakimov Alisher,0-6 6-2 6-4,Masters League Season 2/2025,2025-08-18
616,Juraev Mirazim,Fetisov Artem,4-6 6-3 [11/9],Masters League Season 2/2025,2025-08-19
617,Abduvakhidov Alisher,Akhtamov Farrukh,6-1 6-1,Masters League Season 2/2025,2025-08-19
618,Kurbanov Zafar,Azimov Bobur,6-3 6-0,Masters League Season 2/2025,2025-08-19
619,Abduvakhidov Alisher,Abdullaev Sharof,6-4 6-2,Masters League Season 2/2025,2025-08-19
620,Khon Victor,Pulatov Timur,4-6 7-5 [10/7],Masters League Season 2/2025,2025-08-19
621,Neklesov Igor,Hayitov Olimjon,6-4 7-6 (7/2),Masters League Season 2/2025,2025-08-20
622,Rogozin Anton,Abduvakhidov Alisher,7-5 6-4,Masters League Season 2/2025,2025-08-20
623,Mavlyutov Kamil,Savlev Andrey,6-4 6-2,Masters League Season 2/2025,2025-08-20
624,Akhmadjonov Olimjon,Fetisov Artem,6-3 6-3,Masters League Season 2/2025,2025-08-20
625,Khaitbaev Dilshad,Vohidov Nodir,6-2 7-6 [7/4],Masters League Season 2/2025,2025-08-20
626,Abdurakhmanov Boburkhan,Shatursunov Shokhaydar,7-6 (8/6) 7-6 (7/1),Masters League Season 2/2025,2025-08-21
627,Savlev Andrey,Pulatov Timur,5-7 7-5 [10/8],Masters League Season 2/2025,2025-08-21
628,Mirzoev Suren,Pankratov Vladimir,6-0 1-6 6-1,Masters League Season 2/2025,2025-08-21
629,Mavlyutov Kamil,Khon Victor,6-3 4-6 [11/9],Masters League Season 2/2025,2025-08-22
630,Sagdullayev Abzal,Zaretski Kir,6-3 6-2,Masters League Season 2/2025,2025-08-22
631,Vohidov Nodir,Maxamedkasimov Rustam,7-5 1-6 [10/7],Masters League Season 2/2025,2025-08-23
632,Khikmatov Shukhrat,Nurmuratov Alisher,6-4 4-6 6-3,Masters League Season 2/2025,2025-08-23
633,Ochildiyev Husniddin,Azimov Bobur,6-2 7-6 (7/2),Masters League Season 2/2025,2025-08-23
634,Sadibekov Bulat,Medvedev Vladimir,6-2 7-6,Masters League Season 2/2025,2025-08-23
635,Azimov Bobur,Usmonov Nazir,7-6 (9/7) 7-5,Masters League Season 2/2025,2025-08-25
636,Abdurakhmanov Boburkhan,Bakhromov Iskandar,6-0 6-0,Masters League Season 2/2025,2025-08-25
637,Kurbanov Zafar,Mirzoev Suren,2-6 6-2 6-0,Masters League Season 2/2025,2025-08-25
638,Akhmadjonov Olimjon,Pankratov Vladimir,6-0 6-1,Masters League Season 2/2025,2025-08-25
639,Mavlyutov Kamil,Hayitov Olimjon,3-6 6-3 [10/6],Masters League Season 2/2025,2025-08-26
640,Juraev Mirazim,Usmonov Nazir,3-6 6-2 6-1,Masters League Season 2/2025,2025-08-26
641,Abdurakhmanov Boburkhan,Karimkhodjaev Abdulaziz,6-2 3-6 [11/9],Masters League Season 2/2025,2025-08-27
642,Akhmadjonov Olimjon,Azimov Bobur,6-3 6-2,Masters League Season 2/2025,2025-08-28
643,Pankratov Vladimir,Ochildiyev Husniddin,4-6 7-5 6-3,Masters League Season 2/2025,2025-08-28
644,Abdurakhmanov Boburkhan,Khikmatov Shukhrat,6-3 2-6 [10/7],Masters League Season 2/2025,2025-08-29
645,Ochildiyev Husniddin,Juraev Mirazim,7-6 (8/6) 6-2,Masters League Season 2/2025,2025-08-29
646,Khidoyatov Takhir,Akhmadjonov Olimjon,7-6 (7/2) 6-3,Masters League Season 2/2025,2025-08-29
647,Shatursunov Shokhaydar,Karimkhodjaev Abdulaziz,2-6 6-4 10-8,Masters League Season 2/2025,2025-08-29
648,Kamilov Baxriddin,Ashurmatov Bakhtiyor,6-3 1-6 10-6,Masters League Season 2/2025,2025-08-30
649,Shamuratov Farrukh,Akhtamov Farrukh,3-6 6-4 [11/9],Masters League Season 2/2025,2025-08-30
650,Juraev Mirazim,Raimov Bakhodir,4-6 6-4 [10/3],Masters League Season 2/2025,2025-08-30
651,Akhtamov Farrukh,Abdullaev Sharof,6-4 6-1,Masters League Season 2/2025,2025-08-31
652,Raimov Bakhodir,Usmonov Nazir,6-2 7-5,Masters League Season 2/2025,2025-09-01
653,Akhmadjonov Olimjon,Ochildiyev Husniddin,1-6 6-2 [10/7],Masters League Season 2/2025,2025-09-01
654,Karimkhodjaev Abdulaziz,Khodyrev Egor,6-1 7-5,Masters League Season 2/2025,2025-09-02
655,Kurbanov Zafar,Usmonov Nazir,6-2 6-4,Masters League Season 2/2025,2025-09-02
656,Juraev Mirazim,Azimov Bobur,7-6 (7/5) 7-6 (7/5),Masters League Season 2/2025,2025-09-02
657,Ochildiyev Husniddin,Raimov Bakhodir,6-3 1-6 [11/9],Masters League Season 2/2025,2025-09-02
658,Kamilov Baxriddin,Akhtamov Farrukh,4-6 7-5 [10/5],Masters League Season 2/2025,2025-09-02
659,Niyazov Zarrux,Ivko Vladimir,6-4 6-4,Masters League Season 3/2025,2025-09-15
660,Raimov Bakhodir,Azimov Bobur,6-3 6-3,Masters League Season 3/2025,2025-09-15
661,Nurmuratov Alisher,Bakhromov Iskandar,6-2 7-6 [7/3],Masters League Season 3/2025,2025-09-15
662,Khidoyatov Takhir,Khakimov Alisher,6-3 2-6 7-5,Masters League Season 3/2025,2025-09-15
663,Usmonov Nazir,Khodyrev Egor,7-5 7-6 (7/2),Masters League Season 3/2025,2025-09-15
664,Ivko Vladimir,Maxamedkasimov Rustam,4-6 6-3 [10/6],Masters League Season 3/2025,2025-09-16
665,Xakimov Talib,Davronov Mirazizbek,6-0 6-0,Masters League Season 3/2025,2025-09-16
666,Ochildiyev Husniddin,Sultanov Jamoliddin,6-1 6-7 (5/7) [10/8],Masters League Season 3/2025,2025-09-16
667,Mumtozkhonov Munimkhon,Khodjabayev Sanjar,6-2 6-1,Masters League Season 3/2025,2025-09-17
668,Rogozin Anton,Khaitbaev Dilshad,6-0 6-4,Masters League Season 3/2025,2025-09-17
669,Niyazov Zarrux,Akhtamov Farrukh,7-6 (7/3) 6-3,Masters League Season 3/2025,2025-09-17
670,Bukharov Ulugbek,Maxamedkasimov Rustam,6-4 2-6 [10/3],Masters League Season 3/2025,2025-09-17
671,Khodyrev Egor,Juraev Mirazim,6-3 6-4,Masters League Season 3/2025,2025-09-17
672,Kurbanov Zafar,Akhmadjonov Olimjon,6-3 6-0,Masters League Season 3/2025,2025-09-17
673,Usmonov Nazir,Raimov Bakhodir,6-7 (2/7) 6-0 10-8,Masters League Season 3/2025,2025-09-18
674,Mavlyutov Kamil,Dosmatov Iskandar,6-3 4-6 [10/8],Masters League Season 3/2025,2025-09-18
675,Abdurakhmanov Boburkhan,Azimov Bobur,6-1 6-1,Masters League Season 3/2025,2025-09-18
676,Rogozin Anton,Abduvakhidov Alisher,6-3 6-3,Masters League Season 3/2025,2025-09-18
677,Abdurakhmanov Boburkhan,Khodyrev Egor,6-4 5-7 [10/7],Masters League Season 3/2025,2025-09-19
678,Khidoyatov Takhir,Sultanov Jamoliddin,6-2 3-6 6-3,Masters League Season 3/2025,2025-09-19
679,Nurmuratov Alisher,Khon Victor,6-1 6-1,Masters League Season 3/2025,2025-09-19
680,Muhammadaliyev Muhtor,Mavlyutov Kamil,6-1 6-1,Masters League Season 3/2025,2025-09-19
681,Abdullaev Sharof,Akhmadjonov Olimjon,6-0 7-6 (7/5),Masters League Season 3/2025,2025-09-19
682,Sagdullayev Abzal,Yokubov Muhammadrahim,7-5 5-7 [10/3],Masters League Season 3/2025,2025-09-19
683,Mumtozkhonov Munimkhon,Sagdullayev Abzal,7-6 (7/4) 7-5,Masters League Season 3/2025,2025-09-20
684,Turabov Anvar,Mumtozkhonov Munimkhon,6-3 6-0,Masters League Season 3/2025,2025-09-20
685,Raimov Bakhodir,Juraev Mirazim,6-3 6-3,Masters League Season 3/2025,2025-09-20
686,Akhtamov Farrukh,Ahrarov Izzat,6-7 (5/7) 6-2 [10/7],Masters League Season 3/2025,2025-09-20
687,Abdullaev Sharof,Beknazarov Botirbek,6-1 6-3,Masters League Season 3/2025,2025-09-20
688,Muhammadaliyev Muhtor,Shatursunov Shokhaydar,6-3 5-7 [10/8],Masters League Season 3/2025,2025-09-20
