,winner,loser,score,season,date
689,Razzoqov Davron,Ivko Vladimir,0-6 6-4 [10/7],Masters League Season 3/2025,2025-09-20
690,Nurmuratov Alisher,Davronov Mirazizbek,6-0 6-0,Masters League Season 3/2025,2025-09-20
691,Xakimov Talib,Savlev Andrey,7-5 6-4,Masters League Season 3/2025,2025-09-21
692,Yokubov Muhammadrahim,Neklesov Igor,6-2 6-1,Masters League Season 3/2025,2025-09-21
693,Usmonov Nazir,Ochildiyev Husniddin,6-4 7-6 (7/2),Masters League Season 3/2025,2025-09-21
694,Khidoyatov Takhir,Khodyrev Egor,6-3 6-1,Masters League Season 3/2025,2025-09-22
695,Fetisov Artem,Medvedev Vladimir,7-6 (7/1) 6-4,Masters League Season 3/2025,2025-09-22
696,Razzoqov Davron,Maxamedkasimov Rustam,3-6 6-3 [10/5],Masters League Season 3/2025,2025-09-23
697,Raimov Bakhodir,Khidoyatov Takhir,4-6 6-2 [10/4],Masters League Season 3/2025,2025-09-23
698,Abdurakhmanov Boburkhan,Ochildiyev Husniddin,6-0 4-6 [10/2],Masters League Season 3/2025,2025-09-23
699,Rogozin Anton,Shirinov Jahon,7-6 (7/5) 6-1,Masters League Season 3/2025,2025-09-23
700,Gulyamov Saidahmad,Medvedev Vladimir,7-6 (10/8) 7-5,Masters League Season 3/2025,2025-09-23
701,Mumtozkhonov Munimkhon,Neklesov Igor,6-4 7-6 (10/8),Masters League Season 3/2025,2025-09-24
702,Shirinov Jahon,Ibragimov Murod,2-6 6-4 [10/3],Masters League Season 3/2025,2025-09-24
703,Sagdullayev Abzal,Neklesov Igor,6-3 7-5,Masters League Season 3/2025,2025-09-24
704,Raupov Ravshan,Hayitov Olimjon,3-6 6-3 [10/6],Masters League Season 3/2025,2025-09-24
705,Rogozin Anton,Muminov Bahtiyar,6-0 6-4,Masters League Season 3/2025,2025-09-25
706,Shodmonov Sherzod,Khan Pyotr,6-2 6-3,Masters League Season 3/2025,2025-09-25
707,Gulyamov Saidahmad,Muhammadaliyev Muhtor,3-6 7-6 (7/5) [10/6],Masters League Season 3/2025,2025-09-25
708,Fetisov Artem,Mavlyutov Kamil,7-5 6-2,Masters League Season 3/2025,2025-09-25
709,Ivko Vladimir,Ahrarov Izzat,7-6 (7/3) 6-2,Masters League Season 3/2025,2025-09-26
710,Turabov Anvar,Neklesov Igor,6-3 6-4,Masters League Season 3/2025,2025-09-26
711,Nurmuratov Alisher,Raupov Ravshan,6-1 6-0,Masters League Season 3/2025,2025-09-26
712,Khodyrev Egor,Ochildiyev Husniddin,6-3 3-6 [13/11],Masters League Season 3/2025,2025-09-27
713,Khodjabayev Sanjar,Neklesov Igor,6-1 6-2,Masters League Season 3/2025,2025-09-27
714,Mavlyutov Kamil,Shatursunov Shokhaydar,0-6 6-0 [10/6],Masters League Season 3/2025,2025-09-27
715,Hayitov Olimjon,Xakimov Talib,6-2 6-4,Masters League Season 3/2025,2025-09-27
716,Pankratov Vladimir,Sagdullayev Abzal,6-1 6-0,Masters League Season 3/2025,2025-09-28
717,Larionov Svyatoslav,Rogozin Anton,6-4 1-6 [10/3],Masters League Season 3/2025,2025-09-29
718,Hayitov Olimjon,Khon Victor,7-5 3-6 [12/10],Masters League Season 3/2025,2025-09-29
719,Khakimov Alisher,Juraev Mirazim,6-4 3-6 6-4,Masters League Season 3/2025,2025-09-30
720,Shodmonov Sherzod,Xakimov Talib,6-4 5-7 [10/7],Masters League Season 3/2025,2025-09-30
721,Pankratov Vladimir,Yokubov Muhammadrahim,3-6 7-5 [10/2],Masters League Season 3/2025,2025-09-30
722,Khodyrev Egor,Sultanov Jamoliddin,7-6 (8/6) 6-4,Masters League Season 3/2025,2025-10-01
723,Yusupov Rustam,Mavlyutov Kamil,7-5 6-3,Masters League Season 3/2025,2025-10-01
724,Nurmuratov Alisher,Savlev Andrey,6-1 6-0,Masters League Season 3/2025,2025-10-01
725,Pulatov Timur,Davronov Mirazizbek,6-3 6-0,Masters League Season 3/2025,2025-10-01
726,Ibragimov Murod,Muminov Bahtiyar,6-3 7-5,Masters League Season 3/2025,2025-10-01
727,Ivko Vladimir,Abdullaev Sharof,6-2 3-6 [10/5],Masters League Season 3/2025,2025-10-02
728,Bakhromov Iskandar,Savlev Andrey,6-2 6-1,Masters League Season 3/2025,2025-10-02
729,Akhtamov Farrukh,Kurbanov Zafar,7-5 6-4,Masters League Season 3/2025,2025-10-02
730,Lim Mikhail,Muminov Bahtiyar,6-7 (4/7) 6-4 [10/6],Masters League Season 3/2025,2025-10-03
731,Xaleulin Ruslan,Ibragimov Murod,6-0 6-1,Masters League Season 3/2025,2025-10-03
732,Khon Victor,Davronov Mirazizbek,6-0 6-0,Masters League Season 3/2025,2025-10-03
733,Ivko Vladimir,Akhtamov Farrukh,6-3 6-4,Masters League Season 3/2025,2025-10-03
734,Larionov Svyatoslav,Muminov Bahtiyar,6-1 6-0,Masters League Season 3/2025,2025-10-04
735,Bakhromov Iskandar,Khon Victor,6-2 7-5,Masters League Season 3/2025,2025-10-04
736,Ahrarov Izzat,Maxamedkasimov Rustam,3-6 6-2 [12/10],Masters League Season 3/2025,2025-10-05
737,Xaleulin Ruslan,Shirinov Jahon,6-3 6-1,Masters League Season 3/2025,2025-10-05
738,Abduvakhidov Alisher,Lim Mikhail,7-6 (7/4) 6-3,Masters League Season 3/2025,2025-10-05
739,Khakimov Alisher,Khodyrev Egor,6-2 6-3,Masters League Season 3/2025,2025-10-06
740,Gulyamov Saidahmad,Dosmatov Iskandar,6-2 6-3,Masters League Season 3/2025,2025-10-06
741,Bakhromov Iskandar,Pulatov Timur,6-2 6-2,Masters League Season 3/2025,2025-10-07
742,Xaleulin Ruslan,Rogozin Anton,6-4 6-3,Masters League Season 3/2025,2025-10-07
743,Maxamedkasimov Rustam,Mirzoev Suren,7-5 6-3,Masters League Season 3/2025,2025-10-07
744,Khidoyatov Takhir,Abdurakhmanov Boburkhan,6-3 1-6 [10/5],Masters League Season 3/2025,2025-10-07
745,Usmonov Nazir,Juraev Mirazim,2-6 6-2 6-1,Masters League Season 3/2025,2025-10-08
746,Kadirov Bakhrom,Khodyrev Egor,6-1 6-1,Masters League Season 3/2025,2025-10-08
747,Bukharov Ulugbek,Ahrarov Izzat,6-3 6-0,Masters League Season 3/2025,2025-10-08
748,Gulyamov Saidahmad,Shatursunov Shokhaydar,6-4 6-3,Masters League Season 3/2025,2025-10-08
749,Medov Jak,Sagdullayev Abzal,6-2 6-2,Masters League Season 3/2025,2025-10-08
750,Pankratov Vladimir,Neklesov Igor,6-2 6-3,Masters League Season 3/2025,2025-10-08
751,Khakimov Alisher,Ochildiyev Husniddin,6-2 7-6 (7/3),Masters League Season 3/2025,2025-10-09
752,Lim Mikhail,Ivko Vladimir,6-4 6-4,Masters League Season 3/2025,2025-10-09
753,Pulatov Timur,Savlev Andrey,7-6 (9/7) 3-6 [10/8],Masters League Season 3/2025,2025-10-09
754,Razzoqov Davron,Ahrarov Izzat,6-4 7-6 (7/5),Masters League Season 3/2025,2025-10-09
755,Akhtamov Farrukh,Mirzoev Suren,2-6 6-1 6-0,Masters League Season 3/2025,2025-10-09
756,Abdurakhmanov Boburkhan,Khakimov Alisher,7-6 (7/5) 5-7 [10/5],Masters League Season 3/2025,2025-10-09
757,Pankratov Vladimir,Khodjabayev Sanjar,6-0 6-1,Masters League Season 3/2025,2025-10-10
758,Bukharov Ulugbek,Akhtamov Farrukh,6-1 7-5,Masters League Season 3/2025,2025-10-10
759,Yokubov Muhammadrahim,Nurmuratov Alisher,2-6 6-2 6-3,Masters League Season 3/2025,2025-10-10
760,Turabov Anvar,Sagdullayev Abzal,6-2 6-2,Masters League Season 3/2025,2025-10-11
761,Khidoyatov Takhir,Ochildiyev Husniddin,6-3 7-6 (7/5),Masters League Season 3/2025,2025-10-11
762,Razzoqov Davron,Mirzoev Suren,6-1 3-6 7-6 (10/4),Masters League Season 3/2025,2025-10-12
763,Bakhromov Iskandar,Xakimov Talib,6-3 6-1,Masters League Season 3/2025,2025-10-12
764,Bakhromov Iskandar,Khan Pyotr,6-0 6-0,Masters League Season 3/2025,2025-10-12
765,Pankratov Vladimir,Medov Jak,6-2 7-5,Masters League Season 3/2025,2025-10-12
766,Gulyamov Saidahmad,Yusupov Rustam,7-6 (7/3) 6-3,Masters League Season 3/2025,2025-10-13
767,Shodmonov Sherzod,Davronov Mirazizbek,6-1 6-0,Masters League Season 3/2025,2025-10-13
768,Usmonov Nazir,Khidoyatov Takhir,3-6 6-0 [10/6],Masters League Season 3/2025,2025-10-13
769,Shirinov Jahon,Khaitbaev Dilshad,6-1 6-2,Masters League Season 3/2025,2025-10-14
770,Khidoyatov Takhir,Juraev Mirazim,6-3 6-1,Masters League Season 3/2025,2025-10-14
771,Maxamedkasimov Rustam,Tadjiev Khamdam,6-2 6-3,Masters League Season 3/2025,2025-10-14
772,Mirzoev Suren,Bukharov Ulugbek,1-6 6-3 6-3,Masters League Season 3/2025,2025-10-14
773,Shodmonov Sherzod,Khon Victor,6-3 6-2,Masters League Season 3/2025,2025-10-15
774,Khodyrev Egor,Mumtozkhonov Munimkhon,6-3 0-6 6-1,Masters League Season 3/2025,2025-10-15
775,Gulyamov Saidahmad,Mavlyutov Kamil,6-2 6-4,Masters League Season 3/2025,2025-10-15
776,Nurmuratov Alisher,Neklesov Igor,6-2 6-2,Masters League Season 3/2025,2025-10-16
777,Abduvakhidov Alisher,Khaitbaev Dilshad,6-1 6-1,Masters League Season 3/2025,2025-10-16
778,Rogozin Anton,Ibragimov Murod,6-4 6-4,Masters League Season 3/2025,2025-10-16
779,Bakhromov Iskandar,Hayitov Olimjon,6-1 5-7 6-4,Masters League Season 3/2025,2025-10-17
780,Hayitov Olimjon,Shodmonov Sherzod,6-1 1-6 6-2,Masters League Season 3/2025,2025-10-17
781,Beknazarov Botirbek,Tadjiev Khamdam,6-3 1-6 [10/8],Masters League Season 3/2025,2025-10-17
782,Yokubov Muhammadrahim,Medov Jak,2-6 7-5 6-4,Masters League Season 3/2025,2025-10-17
783,Khon Victor,Pulatov Timur,6-1 3-6 [10/7],Masters League Season 3/2025,2025-10-18
784,Abdullaev Sharof,Maxamedkasimov Rustam,6-3 4-6 [10/8],Masters League Season 3/2025,2025-10-18
785,Savlev Andrey,Davronov Mirazizbek,6-2 6-1,Masters League Season 3/2025,2025-10-18
786,Sagdullayev Abzal,Khodjabayev Sanjar,6-4 3-1,Masters League Season 3/2025,2025-10-18
787,Tadjiev Khamdam,Ahrarov Izzat,6-2 6-3,Masters League Season 3/2025,2025-10-19
788,Pankratov Vladimir,Turabov Anvar,6-3 7-6 (7/1),Masters League Season 3/2025,2025-10-19
789,Khidoyatov Takhir,Mumtozkhonov Munimkhon,7-5 7-5,Masters League Season 3/2025,2025-10-19
790,Kurbanov Zafar,Mirzoev Suren,6-3 6-2,Masters League Season 3/2025,2025-10-20
791,Akhtamov Farrukh,Maxamedkasimov Rustam,1-6 6-4 10-5,Masters League Season 3/2025,2025-10-20
792,Rogozin Anton,Lim Mikhail,6-2 6-3,Masters League Season 3/2025,2025-10-21
793,Sultanov Jamoliddin,Juraev Mirazim,6-1 6-1,Masters League Season 3/2025,2025-10-21
794,Fetisov Artem,Gulyamov Saidahmad,6-4 5-7 6-4,Masters League Season 3/2025,2025-10-21
795,Khodyrev Egor,Raimov Bakhodir,6-2 6-3,Masters League Season 3/2025,2025-10-22
796,Akhtamov Farrukh,Tadjiev Khamdam,1-6 6-1 10-5,Masters League Season 3/2025,2025-10-22
797,Juraev Mirazim,Mumtozkhonov Munimkhon,7-6 (7/5) 6-3,Masters League Season 3/2025,2025-10-23
798,Fetisov Artem,Dosmatov Iskandar,6-2 6-3,Masters League Season 3/2025,2025-10-23
799,Mirzoev Suren,Abdullaev Sharof,6-2 6-4,Masters League Season 3/2025,2025-10-23
800,Kadirov Bakhrom,Khidoyatov Takhir,7-5 3-6 [13/11],Masters League Season 3/2025,2025-10-23
801,Usmonov Nazir,Sultanov Jamoliddin,7-5 6-2,Masters League Season 3/2025,2025-10-23
802,Akhtamov Farrukh,Akhmadjonov Olimjon,6-2 6-0,Masters League Season 3/2025,2025-10-23
803,Nurmuratov Alisher,Sagdullayev Abzal,6-3 6-1,Masters League Season 3/2025,2025-10-24
804,Akhtamov Farrukh,Beknazarov Botirbek,6-3 6-1,Masters League Season 3/2025,2025-10-24
805,Khon Victor,Savlev Andrey,5-7 6-2 [10/7],Masters League Season 3/2025,2025-10-24
806,Hayitov Olimjon,Davronov Mirazizbek,6-0 6-1,Masters League Season 3/2025,2025-10-25
807,Bukharov Ulugbek,Razzoqov Davron,6-1 6-4,Masters League Season 3/2025,2025-10-25
808,Pankratov Vladimir,Rustamov Bozorboy,6-3 6-3,Masters League Season 3/2025,2025-10-26
809,Xakimov Talib,Khon Victor,6-3 6-2,Masters League Season 3/2025,2025-10-26
810,Juraev Mirazim,Ochildiyev Husniddin,1-6 6-4 7-5,Masters League Season 3/2025,2025-10-26
811,Niyazov Zarrux,Mirzoev Suren,6-3 6-3,Masters League Season 3/2025,2025-10-27
812,Razzoqov Davron,Akhtamov Farrukh,6-2 4-6 [10/6],Masters League Season 3/2025,2025-10-28
813,Bukharov Ulugbek,Kurbanov Zafar,6-3 6-2,Masters League Season 3/2025,2025-10-29
814,Hayitov Olimjon,Savlev Andrey,6-1 6-4,Masters League Season 3/2025,2025-10-29
815,Akhmadjonov Olimjon,Tadjiev Khamdam,6-4 6-4,Masters League Season 3/2025,2025-10-29
816,Sultanov Jamoliddin,Khakimov Alisher,6-3 7-6 (7/5),Masters League Season 3/2025,2025-10-29
817,Kadirov Bakhrom,Ochildiyev Husniddin,6-0 6-1,Masters League Season 3/2025,2025-10-29
818,Xakimov Talib,Pulatov Timur,6-7 (1/7) 7-5 [11/9],Masters League Season 3/2025,2025-10-29
819,Pulatov Timur,Shodmonov Sherzod,3-6 6-2 [11/9],Masters League Season 3/2025,2025-10-29
820,Abdurakhmanov Boburkhan,Juraev Mirazim,3-6 6-4 6-3,Masters League Season 3/2025,2025-10-30
821,Bukharov Ulugbek,Tadjiev Khamdam,7-5 7-5,Masters League Season 3/2025,2025-10-30
822,Kadirov Bakhrom,Khakimov Alisher,7-5 4-6 6-1,Masters League Season 3/2025,2025-10-30
823,Razzoqov Davron,Akhmadjonov Olimjon,6-4 7-5,Masters League Season 3/2025,2025-10-30
824,Bukharov Ulugbek,Akhmadjonov Olimjon,6-0 6-4,Masters League Season 3/2025,2025-10-31
825,Medov Jak,Neklesov Igor,6-2 4-6 [11/9],Masters League Season 3/2025,2025-10-31
826,Khakimov Alisher,Usmonov Nazir,6-3 6-2,Masters League Season 3/2025,2025-11-01
827,Bukharov Ulugbek,Abdullaev Sharof,6-3 6-1,Masters League Season 3/2025,2025-11-01
828,Muminov Bahtiyar,Shirinov Jahon,6-1 4-6 [10/8],Masters League Season 3/2025,2025-11-01
829,Kadirov Bakhrom,Juraev Mirazim,6-3 6-2,Masters League Season 3/2025,2025-11-01
830,Hayitov Olimjon,Pulatov Timur,6-2 6-2,Masters League Season 3/2025,2025-11-01
831,Sagdullayev Abzal,Yokubov Muhammadrahim,6-1 2-6 [10/3],Masters League Season 4/2025,2025-11-07
832,Gulyamov Saidahmad,Juraev Mirazim,6-4 4-6 6-3,Masters League Season 4/2025,2025-11-09
833,Rogozin Anton,Shirinov Jahon,7-6 (7/3) 6-3,Masters League Season 4/2025,2025-11-09
834,Pankratov Vladimir,Fetisov Artem,6-2 6-1,Masters League Season 4/2025,2025-11-11
835,Ivko Vladimir,Maxamedkasimov Rustam,1-6 6-0 [10/4],Masters League Season 4/2025,2025-11-11
836,Muhammadaliyev Muhtor,Juraev Mirazim,7-5 6-2,Masters League Season 4/2025,2025-11-11
837,Dosmatov Iskandar,Mavlyutov Kamil,3-6 7-6 (7/3) [10/6],Masters League Season 4/2025,2025-11-12
838,Sagdullayev Abzal,Sultanov Jamoliddin,4-6 7-5 [12/10],Masters League Season 4/2025,2025-11-12
839,Khakimov Alisher,Juraev Mirazim,6-4 6-4,Masters League Season 4/2025,2025-11-12
840,Zulpitdinov Abdushaid,Xakimov Talib,7-5 6-3,Masters League Season 4/2025,2025-11-13
841,Abduvakhidov Alisher,Shirinov Jahon,6-4 7-6 (8/6),Masters League Season 4/2025,2025-11-13
842,Shamuratov Farrukh,Akhtamov Farrukh,6-2 6-7 (5/7) [11/9],Masters League Season 4/2025,2025-11-13
843,Fetisov Artem,Khodyrev Egor,7-6 (7/4) 6-3,Masters League Season 4/2025,2025-11-14
844,Khodyrev Egor,Sultanov Jamoliddin,5-7 6-3 6-1,Masters League Season 4/2025,2025-11-15
845,Muminov Karim,Dosmatov Iskandar,6-3 6-1,Masters League Season 4/2025,2025-11-15
846,Hayitov Olimjon,Shodmonov Sherzod,6-1 6-4,Masters League Season 4/2025,2025-11-15
847,Rogozin Anton,Abduvakhidov Alisher,6-2 7-6 (7/4),Masters League Season 4/2025,2025-11-15
848,Pankratov Vladimir,Yokubov Muhammadrahim,6-4 6-1,Masters League Season 4/2025,2025-11-15
849,Gulyamov Saidahmad,Khodyrev Egor,6-4 6-3,Masters League Season 4/2025,2025-11-16
850,Muminov Karim,Juraev Mirodil,6-3 6-2,Masters League Season 4/2025,2025-11-16
851,Rogozin Anton,Akhtamov Farrukh,6-1 6-1,Masters League Season 4/2025,2025-11-17
852,Muhammadaliyev Muhtor,Khakimov Alisher,6-2 6-1,Masters League Season 4/2025,2025-11-17
853,Dosmatov Iskandar,Xakimov Talib,6-1 6-1,Masters League Season 4/2025,2025-11-19
854,Khakimov Alisher,Gulyamov Saidahmad,6-4 6-4,Masters League Season 4/2025,2025-11-20
855,Khodyrev Egor,Sagdullayev Abzal,4-6 6-0 [10/5],Masters League Season 4/2025,2025-11-20
856,Muhammadaliyev Muhtor,Sagdullayev Abzal,6-0 6-3,Masters League Season 4/2025,2025-11-21
857,Khodyrev Egor,Pankratov Vladimir,6-0 6-4,Masters League Season 4/2025,2025-11-21
858,Sultanov Jamoliddin,Fetisov Artem,6-3 7-6 (7/0),Masters League Season 4/2025,2025-11-21
859,Rogozin Anton,Shamuratov Farrukh,6-3 6-3,Masters League Season 4/2025,2025-11-22
860,Muminov Karim,Hayitov Olimjon,2-6 6-1 [10/8],Masters League Season 4/2025,2025-11-22
861,Khakimov Alisher,Yokubov Muhammadrahim,6-7 (3/7) 6-1 7-6 (12/10),Masters League Season 4/2025,2025-11-22
862,Khodyrev Egor,Juraev Mirazim,7-6 (7/4) 6-2,Masters League Season 4/2025,2025-11-23
863,Muminov Karim,Mavlyutov Kamil,6-4 6-4,Masters League Season 4/2025,2025-11-23
864,Kadirov Makhmud,Hayitov Olimjon,6-4 4-6 6-2,Masters League Season 4/2025,2025-11-26
865,Khakimov Alisher,Sagdullayev Abzal,7-6 (7/5) 7-5,Masters League Season 4/2025,2025-11-27
866,Mavlyutov Kamil,Xakimov Talib,6-4 2-6 [10/7],Masters League Season 4/2025,2025-11-27
867,Dosmatov Iskandar,Kadirov Makhmud,6-2 6-4,Masters League Season 4/2025,2025-11-27
868,Khodyrev Egor,Khakimov Alisher,7-5 6-3,Masters League Season 4/2025,2025-11-27
869,Bukharov Ulugbek,Kamilov Baxriddin,4-6 6-1 6-2,Masters League Season 4/2025,2025-11-28
870,Maxamedkasimov Rustam,Kurbanov Zafar,7-5 1-6 [11/9],Masters League Season 4/2025,2025-11-28
871,Juraev Mirazim,Sagdullayev Abzal,6-2 6-2,Masters League Season 4/2025,2025-11-28
872,Rogozin Anton,Kamilov Baxriddin,6-2 6-4,Masters League Season 4/2025,2025-11-30
873,Turabov Anvar,Mavlyutov Kamil,6-3 6-4,Masters League Season 4/2025,2025-11-30
874,Fetisov Artem,Sagdullayev Abzal,6-3 6-3,Masters League Season 4/2025,2025-12-01
875,Abduvakhidov Alisher,Kamilov Baxriddin,6-3 6-3,Masters League Season 4/2025,2025-12-02
876,Maxamedkasimov Rustam,Karimov Bobirbek,6-4 7-5,Masters League Season 4/2025,2025-12-02
877,Fetisov Artem,Juraev Mirazim,6-3 6-3,Masters League Season 4/2025,2025-12-03
878,Mirzoev Suren,Kurbanov Zafar,6-7 (3/7) 6-4 [10/6],Masters League Season 4/2025,2025-12-03
879,Shirinov Jahon,Akhtamov Farrukh,7-5 7-5,Masters League Season 4/2025,2025-12-03
880,Khodyrev Egor,Muhammadaliyev Muhtor,6-3 7-6 (7/4),Masters League Season 4/2025,2025-12-04
881,Fetisov Artem,Gulyamov Saidahmad,6-3 6-2,Masters League Season 4/2025,2025-12-04
882,Shirinov Jahon,Bukharov Ulugbek,3-6 7-5 [13/11],Masters League Season 4/2025,2025-12-04
883,Pankratov Vladimir,Sagdullayev Abzal,6-3 6-3,Masters League Season 4/2025,2025-12-05
884,Kamilov Baxriddin,Akhtamov Farrukh,1-6 6-4 6-3,Masters League Season 4/2025,2025-12-06
885,Mavlyutov Kamil,Kadirov Makhmud,6-4 3-6 7-5,Masters League Season 4/2025,2025-12-06
886,Khidoyatov Takhir,Mirzoev Suren,6-4 3-6 6-4,Masters League Season 4/2025,2025-12-06
887,Gulyamov Saidahmad,Pankratov Vladimir,4-6 7-5 [10/6],Masters League Season 4/2025,2025-12-07
888,Gulyamov Saidahmad,Yokubov Muhammadrahim,6-2 6-0,Masters League Season 4/2025,2025-12-07
889,Dosmatov Iskandar,Hayitov Olimjon,6-0 6-1,Masters League Season 4/2025,2025-12-07
890,Gulyamov Saidahmad,Sultanov Jamoliddin,6-2 7-5,Masters League Season 4/2025,2025-12-07
891,Shirinov Jahon,Kamilov Baxriddin,7-6 (7/3) 6-4,Masters League Season 4/2025,2025-12-08
892,Khodyrev Egor,Yokubov Muhammadrahim,6-4 6-2,Masters League Season 4/2025,2025-12-08
893,Muhammadaliyev Muhtor,Fetisov Artem,2-6 6-4 6-4,Masters League Season 4/2025,2025-12-08
894,Mirzoev Suren,Usmonov Nazir,6-2 7-6 (7/5),Masters League Season 4/2025,2025-12-09
895,Khakimov Alisher,Sultanov Jamoliddin,8-7 (7/3),Masters League Season 4/2025,2025-12-10
896,Rogozin Anton,Bukharov Ulugbek,8-5,Masters League Season 4/2025,2025-12-10
897,Rogozin Anton,Khaitbaev Dilshad,8-2,Masters League Season 4/2025,2025-12-10
898,Mirzoev Suren,Karimov Bobirbek,6-4 6-4,Masters League Season 4/2025,2025-12-10
899,Mavlyutov Kamil,Zulpitdinov Abdushaid,6-3 7-6 (7/3),Masters League Season 4/2025,2025-12-10
900,Xakimov Talib,Kadirov Makhmud,6-3 3-6 [10/8],Masters League Season 4/2025,2025-12-11
901,Muminov Karim,Turabov Anvar,6-2 7-5,Masters League Season 4/2025,2025-12-12
902,Muminov Karim,Zulpitdinov Abdushaid,6-4 6-0,Masters League Season 4/2025,2025-12-12
903,Fetisov Artem,Khakimov Alisher,2-6 6-2 6-1,Masters League Season 4/2025,2025-12-12
904,Kadirov Makhmud,Muminov Karim,4-6 6-2 [10/8],Masters League Season 4/2025,2025-12-13
905,Maxamedkasimov Rustam,Khidoyatov Takhir,6-4 6-1,Masters League Season 4/2025,2025-12-13
906,Shirinov Jahon,Shamuratov Farrukh,7-5 6-3,Masters League Season 4/2025,2025-12-14
907,Gulyamov Saidahmad,Sagdullayev Abzal,6-2 7-5,Masters League Season 4/2025,2025-12-14
908,Ivko Vladimir,Usmonov Nazir,6-2 6-1,Masters League Season 4/2025,2025-12-14
909,Juraev Mirazim,Pankratov Vladimir,6-4 6-2,Masters League Season 4/2025,2025-12-16
910,Maxamedkasimov Rustam,Mirzoev Suren,7-6 (7/3),Masters League Season 4/2025,2025-12-17
911,Kadirov Makhmud,Zulpitdinov Abdushaid,6-4 6-2,Masters League Season 4/2025,2025-12-18
912,Ivko Vladimir,Mirzoev Suren,6-1 6-2,Masters League Season 4/2025,2025-12-19
913,Kadirov Makhmud,Shodmonov Sherzod,8-3,Masters League Season 4/2025,2025-12-19
914,Kadirov Makhmud,Juraev Mirodil,8-5,Masters League Season 4/2025,2025-12-19
915,Mavlyutov Kamil,Hayitov Olimjon,6-3 2-6 [10/8],Masters League Season 4/2025,2025-12-21
916,Juraev Mirodil,Mavlyutov Kamil,8-1,Masters League Season 4/2025,2025-12-21
