Player,Rating,Wildcard
Rogozin Anton,4.797,
Akhtamov Farrukh,3.837,
Juraev Mirazim,3.170,
Khodyrev Egor,3.431,
Khakimov Alisher,3.518,
Shodmonov Sherzod,2.872,
Vlassiouk Igor,5.046,M1
Sagdullayev Abzal,2.857,
Muminov Karim,2.697,
Zulpitdinov Abdushaid,2.936,
Khidoyatov Takhir,3.478,
Kadirov Makhmud,2.858,
Yokubov Muhammadrahim,3.629,
Fetisov Artem,3.463,
Mirzoev Suren,3.679,
Abdurakhmanov Boburkhan,3.460,
Gulyamov Saidahmad,3.894,
Ibragimov Murod,3.802,
Hayitov Olimjon,2.902,
Usmonov Nazir,3.567,
Xakimov Talib,2.880,
Juraev Mirodil,3.462,
Khaitbaev Dilshad,3.632,
Ivko Vladimir,4.235,
Shirinov Jahon,4.366,
Mavlyutov Kamil,2.955,
Dosmatov Iskandar,2.738,
Shamuratov Farrukh,4.248,
Abduvakhidov Alisher,3.761,
Kurbanov Zafar,3.806,
Kamilov Baxriddin,3.721,
Pankratov Vladimir,3.469,